entity_id,entity_name,lat_dd_north,lon_dd_east,elev_m,hemisphere,depo_context,eco_id,chron_code,geo_id
1519,SEB,53.476111,-114.878611,807,north,sedswamp,191,RPD_orig,36
1521,Steeve core,51.9399722222222,-68.1553333333333,548,north,sedlac,50,RPD_orig,36
1523,Twin Lake core,50.9524722222222,-74.5753333333333,376,north,sedlac,31,RPD_orig,36
1530,Hudson Lake core count,61.897711,-145.670722,860,north,sedlac,179,RPD_orig,227
1532,TOR-LT4,46.542883,-72.615028,125,north,sedswamp,49,RPD_orig,36
1533,TOR-LT5,46.542389,-72.615036,125,north,sedswamp,49,RPD_orig,36
1534,TOR-LT6,46.54245,-72.615492,125,north,sedswamp,49,RPD_orig,36
1535,Lili core,49.1737502777778,-79.3741475,320,north,sedlac,31,RPD_orig,36
1536,M14 core,50.0755555555556,-95.4022222222222,330,north,sedlac,42,RPD_orig,36
1537,M15 core,49.7858333333333,-95.1902777777778,337,north,sedlac,42,RPD_orig,227
1538,M16 core,49.8158333333333,-95.2655555555556,341,north,sedlac,42,RPD_orig,36
1539,M34 core,50.23,-95.5777777777778,290,north,sedlac,42,RPD_orig,36
1540,O4 core,49.7575,-94.8777777777778,366,north,sedlac,42,RPD_orig,227
1541,O6 core,49.8213888888889,-94.7836111111111,361,north,sedlac,42,RPD_orig,227
1542,O14 core,50.0283333333333,-94.824444,332,north,sedlac,42,RPD_orig,227
1543,O15 core,50.0080555555556,-94.9825,339,north,sedlac,42,RPD_orig,36
1547,MIL,56.930556,-111.475,334,north,sedswamp,180,RPD_orig,36
1550,Poktovik core count,68.02,-161.37,160,north,sedlac,57,RPD_orig,227
1554,Salmo Lake Core A count,60.4455555,-133.5613888,866,north,sedlac,53,RPD_orig,36
1558,Uchugrak core,68.052056,-161.726278,216,north,sedlac,182,RPD_orig,227
1572,Innu lake core,50.06864,-68.81231,400,north,sedlac,50,RPD_orig,36
1573,CN-1,50.06864,-68.81231,400,north,sedswamp,50,RPD_orig,36
1605,BC 1A count,57.1477833,-120.6513833,120,north,sedswamp,191,NA,36
1606,BC 1B count,57.1477833,-120.6513833,120,north,sedswamp,191,NA,36
1623,BC 2A count,58.4319,-120.1194444,120,north,sedswamp,12,NA,36
1624,BC 2B count,58.4319,-120.1194444,120,north,sedswamp,12,RPD_orig,36
1627,BC 4A count,58.8522222,-122.4227778,120,north,sedswamp,12,NA,36
1628,BC 4B count,58.8522222,-122.4227778,120,north,sedswamp,12,NA,36
1641,V1,49.4211,-79.003,272,north,sedswamp,31,RPD_orig,36
1642,V2,49.4206,-79.0028,273,north,sedswamp,31,RPD_orig,36
1643,V3,49.42,-79.0028,273,north,sedswamp,31,RPD_orig,36
1672,L1,49.1723,-79.3703,317,north,sedswamp,31,RPD_orig,36
1673,L2,49.172,-79.3695,317,north,sedswamp,31,RPD_orig,36
1674,L3,49.1719,-79.3691,318,north,sedswamp,31,RPD_orig,36
1677,NW 1 core,61.8459167,-122.4,120,north,sedswamp,12,RPD_orig,36
1734,Lin core,61.48,-163.43,2,north,sedlac,185,RPD_orig,227
