Year,THW,WD,DIV,PIG,Gomez,JRIBAS,B40,NORUS_8_7,NORUS_7_2,B53,NORUS_7_5,NORUS_7_7,Aurora_Basin,W10,Illimani,D4,Summit2010,NEEM-2011-S1,Tunu2013,ACT11d,ACT2,NGT-B19,Humboldt,Flade-Isblink,Hans-Tausen,NasaU,Akademii-Nauk,Colle_Gnifetti,Upper-Fremont-Glacier,McCall-Glacier,Eclipse
1819,-999.0,13.0,42.8,-999.0,-999.0,79.9,5.9,13.7,3.9,6.6,6.4,6.2,19.3,43.5,467.0,675.9,456.0,172.0,66.3,2147.7,1110.8,86.5,222.5,1067.2,163.8,676.5,492.9,1318.5,976.1,-999.0,2254.6
1820,-999.0,23.8,80.1,-999.0,-999.0,42.7,12.6,7.4,5.6,6.1,5.6,8.5,18.5,18.6,343.4,1211.7,394.7,511.5,96.9,2416.0,911.0,113.8,215.7,682.8,116.3,524.7,615.6,1908.0,1279.3,-999.0,3635.6
1821,-999.0,22.1,101.4,-999.0,-999.0,76.4,16.5,23.5,8.1,7.3,2.9,7.9,38.5,41.0,578.6,841.4,295.6,368.5,43.2,541.3,659.2,88.6,86.1,902.9,146.7,-999.0,920.7,1624.5,1335.3,-999.0,1920.4
1822,-999.0,28.5,162.1,-999.0,-999.0,50.0,13.6,31.1,18.5,7.4,7.1,9.1,36.0,28.9,505.4,633.7,369.5,529.0,86.7,791.0,348.6,240.9,108.5,887.6,63.8,-999.0,246.2,702.0,1137.9,-999.0,2123.3
1823,-999.0,29.7,100.3,-999.0,-999.0,62.6,15.9,4.4,15.9,15.3,4.4,9.4,31.3,51.8,530.1,408.0,342.8,815.0,241.8,981.4,243.0,130.7,358.2,1016.4,163.9,419.7,732.0,688.5,1558.1,-999.0,2189.2
1824,-999.0,23.5,68.7,-999.0,-999.0,26.2,6.2,54.0,19.4,18.3,4.3,7.4,34.8,38.8,539.0,426.8,211.8,293.4,92.3,863.7,380.2,261.0,444.7,1990.0,121.9,386.0,541.9,1458.0,1755.3,-999.0,3027.9
1825,-999.0,24.4,56.5,-999.0,-999.0,187.3,27.5,17.0,4.4,12.1,4.4,4.8,26.8,73.6,652.3,633.2,406.1,350.0,462.9,1418.8,180.3,89.5,221.0,505.7,147.2,464.2,1878.8,814.5,1511.8,-999.0,2105.5
1826,-999.0,23.4,71.2,-999.0,-999.0,73.9,38.3,15.7,4.7,10.8,2.3,4.5,11.6,40.2,324.0,815.8,433.2,508.7,142.0,1330.4,569.7,116.4,115.3,443.5,70.5,601.3,1225.5,1782.0,2631.8,-999.0,1453.3
1827,-999.0,10.2,60.5,-999.0,-999.0,27.9,17.0,56.0,7.4,7.5,1.9,4.3,22.0,36.3,341.8,332.5,254.7,235.7,147.7,582.3,220.3,78.3,165.2,948.6,152.3,1644.1,2895.1,2691.0,1453.5,-999.0,2653.6
1828,-999.0,9.0,98.3,-999.0,-999.0,89.2,15.1,20.2,7.5,6.7,2.3,5.6,6.1,31.6,222.1,532.6,339.4,567.8,64.9,485.8,101.8,114.0,277.2,974.4,176.2,620.6,2263.6,1998.0,981.6,-999.0,1445.6
1829,-999.0,22.0,87.8,-999.0,-999.0,78.2,25.2,13.4,10.0,7.7,3.3,5.3,21.9,32.7,167.7,757.3,243.9,849.4,96.8,562.1,460.5,396.4,368.1,1933.2,190.5,450.2,1621.3,778.5,797.5,-999.0,2732.7
1830,-999.0,12.7,89.4,-999.0,-999.0,113.8,38.0,7.7,7.9,7.9,1.6,3.7,40.6,20.2,412.1,313.3,243.0,506.2,94.2,516.3,208.6,245.2,175.0,1560.7,108.3,538.7,1533.9,1867.5,1936.8,-999.0,3257.2
1831,-999.0,42.5,82.4,-999.0,-999.0,189.1,25.5,35.0,4.1,3.8,1.0,3.5,20.7,26.1,263.6,354.5,298.9,430.9,125.0,903.6,205.1,77.5,179.5,1088.6,112.2,325.6,855.9,747.0,1835.4,-999.0,4073.6
1832,-999.0,31.2,79.7,-999.0,-999.0,170.4,18.2,24.6,8.7,4.9,1.6,5.1,50.4,32.2,345.4,461.3,403.7,246.3,51.4,1331.5,82.9,23.3,84.0,677.5,343.8,274.1,355.3,967.5,5292.5,-999.0,2921.3
1833,-999.0,28.4,277.9,-999.0,-999.0,37.1,12.8,56.9,24.9,3.0,2.7,5.4,38.9,217.6,249.4,507.4,307.9,450.5,92.2,1575.3,269.7,31.0,247.2,900.4,99.3,465.8,958.9,697.5,3270.4,-999.0,1759.5
1834,-999.0,15.5,109.1,-999.0,-999.0,28.7,13.7,70.5,11.5,3.9,3.3,8.2,14.5,298.7,187.9,999.6,433.5,458.3,165.5,292.6,1504.4,90.0,344.4,1093.3,79.3,966.7,1155.8,220.5,2572.8,-999.0,4621.8
1835,-999.0,11.1,54.9,-999.0,-999.0,748.5,11.7,24.7,8.5,5.9,4.8,7.2,16.3,30.2,453.0,478.6,292.9,626.4,64.3,716.3,553.2,125.4,298.6,2202.4,163.8,1094.1,674.0,418.5,1270.5,-999.0,3132.5
1836,-999.0,13.2,71.0,-999.0,-999.0,53.1,16.8,18.1,10.4,7.2,2.2,11.9,10.8,18.4,254.2,222.8,297.0,196.4,128.6,1676.1,338.3,176.8,158.4,1598.5,318.2,360.8,2009.4,1368.0,735.8,-999.0,1602.6
1837,-999.0,11.9,75.5,-999.0,-999.0,22.4,26.1,11.7,11.1,11.9,2.6,11.7,4.8,29.8,531.1,1616.0,609.9,1022.5,230.8,2410.7,1661.3,146.3,572.5,2527.6,889.0,953.9,1758.7,630.0,776.5,-999.0,4294.4
1838,-999.0,19.3,125.4,-999.0,-999.0,82.5,22.6,12.7,8.2,8.0,5.0,7.4,13.2,29.7,427.3,651.9,380.2,597.1,86.7,933.6,323.9,229.2,341.6,1456.2,288.2,616.1,1998.8,864.0,1837.7,-999.0,3311.9
1839,-999.0,12.3,61.5,-999.0,-999.0,139.3,20.4,17.2,3.2,7.0,3.0,7.7,15.9,19.5,352.1,927.3,385.0,948.1,223.6,1128.0,1006.3,127.2,397.5,771.2,128.9,1008.6,2144.3,1404.0,1259.1,-999.0,1952.6
